user_id,key,event_type,timestamp
chetan,f,down,1754122733.6153653
chetan,a,down,1754122733.800871
chetan,f,up,1754122733.8090641
chetan,c,down,1754122734.059495
chetan,a,up,1754122734.2234788
chetan,c,up,1754122734.314251
chetan,t,down,1754122734.5348792
chetan,Key.space,down,1754122734.6952388
chetan,t,up,1754122734.7047608
chetan,Key.space,up,1754122734.81565
chetan,e,down,1754122735.5245295
chetan,e,up,1754122735.6937706
chetan,y,down,1754122736.2379181
chetan,e,down,1754122736.3286057
chetan,y,up,1754122736.3907597
chetan,e,up,1754122736.5012364
chetan,Key.space,down,1754122736.5040734
chetan,Key.space,up,1754122736.6316872
chetan,p,down,1754122737.21804
chetan,u,down,1754122737.3786623
chetan,p,up,1754122737.426243
chetan,u,up,1754122737.5530844
chetan,b,down,1754122737.6567736
chetan,l,down,1754122737.8511143
chetan,b,up,1754122737.902531
chetan,l,up,1754122737.9940746
chetan,i,down,1754122738.545226
chetan,c,down,1754122738.6645138
chetan,i,up,1754122738.6907208
chetan,Key.space,down,1754122738.7926402
chetan,c,up,1754122738.8356543
chetan,Key.space,up,1754122738.904822
chetan,d,down,1754122739.492856
chetan,o,down,1754122739.544557
chetan,d,up,1754122739.5714378
chetan,o,up,1754122739.6779082
chetan,Key.space,down,1754122740.5081325
chetan,Key.space,up,1754122740.6160383
chetan,c,down,1754122741.266589
chetan,o,down,1754122741.3695142
chetan,c,up,1754122741.4089084
chetan,n,down,1754122741.4889793
chetan,o,up,1754122741.5609715
chetan,n,up,1754122741.669862
chetan,s,down,1754122741.7261147
chetan,i,down,1754122741.8456461
chetan,s,up,1754122741.8840837
chetan,i,up,1754122741.9758408
chetan,d,down,1754122742.01507
chetan,d,up,1754122742.1430004
chetan,e,down,1754122742.193317
chetan,r,down,1754122742.2984054
chetan,e,up,1754122742.3796718
chetan,Key.space,down,1754122742.4125304
chetan,r,up,1754122742.4477851
chetan,Key.space,up,1754122742.5230095
chetan,f,down,1754122742.8685253
chetan,f,up,1754122742.993461
chetan,e,down,1754122743.1109982
chetan,w,down,1754122743.227661
chetan,e,up,1754122743.278215
chetan,Key.space,down,1754122743.3464494
chetan,w,up,1754122743.404061
chetan,Key.space,up,1754122743.4753983
chetan,s,down,1754122743.7131267
chetan,a,down,1754122743.8333225
chetan,s,up,1754122743.8907588
chetan,a,up,1754122743.9930246
chetan,y,down,1754122744.4992404
chetan,y,up,1754122744.6109207
chetan,Key.space,down,1754122744.6774771
chetan,Key.space,up,1754122744.8071446
chetan,t,down,1754122744.837205
chetan,h,down,1754122744.9490907
chetan,h,up,1754122745.1085064
chetan,t,up,1754122745.148779
chetan,r,down,1754122745.2913973
chetan,r,up,1754122745.4546402
chetan,o,down,1754122745.495168
chetan,o,up,1754122745.567519
chetan,u,down,1754122745.9918208
chetan,u,up,1754122746.1320245
chetan,g,down,1754122746.709616
chetan,h,down,1754122746.7844126
chetan,g,up,1754122746.8450925
chetan,Key.space,down,1754122746.9042623
chetan,h,up,1754122746.927349
chetan,Key.space,up,1754122747.0227554
chetan,i,down,1754122747.4268963
chetan,n,down,1754122747.6214242
chetan,i,up,1754122747.66453
chetan,t,down,1754122747.6938307
chetan,n,up,1754122747.7855675
chetan,o,down,1754122747.8092415
chetan,t,up,1754122747.8596432
chetan,o,up,1754122747.9585457
chetan,Key.space,down,1754122747.976774
chetan,Key.space,up,1754122748.0877867
chetan,p,down,1754122748.6631715
chetan,p,up,1754122748.851758
chetan,e,down,1754122749.0012412
chetan,e,up,1754122749.1757758
chetan,o,down,1754122749.1802838
chetan,p,down,1754122749.2671869
chetan,o,up,1754122749.3370614
chetan,p,up,1754122749.489888
chetan,l,down,1754122749.599153
chetan,l,up,1754122749.763747
